sg_uf,regional,curso,no_curso_aj,vagas,concluintes,demanda,qtd_bolsas_elegiveis
RS,10º CRE (Uruguaiana),Pedagogia,pedagogia,1,16,50,0
RS,10º CRE (Uruguaiana),Biologia,biologia,93,5,1,0
RS,10º CRE (Uruguaiana),Educação física,educacaofisica,187,25,3,0
RS,10º CRE (Uruguaiana),Matemática,matematica,316,12,8,0
RS,10º CRE (Uruguaiana),Química,quimica,60,4,1,0
RS,28º CRE (Gravataí),Pedagogia,pedagogia,258,9,125,116
RS,13º CRE (Bagé),Física,fisica,232,5,1,0
RS,13º CRE (Bagé),Língua Portuguesa,linguaportuguesa,154,13,6,0
RS,13º CRE (Bagé),Matemática,matematica,208,6,6,0
RS,13º CRE (Bagé),Artes,artes,67,4,2,0
RS,13º CRE (Bagé),Química,quimica,212,3,1,0
RS,13º CRE (Bagé),Pedagogia,pedagogia,66,27,43,16
RS,13º CRE (Bagé),Biologia,biologia,60,3,1,0
RS,13º CRE (Bagé),Educação física,educacaofisica,50,12,2,0
RS,13º CRE (Bagé),História,historia,70,3,2,0
RS,16º CRE (Bento Gonçalves),Biologia,biologia,100,1,1,0
RS,16º CRE (Bento Gonçalves),Educação física,educacaofisica,61,6,3,0
RS,16º CRE (Bento Gonçalves),Geografia,geografia,103,23,3,0
RS,16º CRE (Bento Gonçalves),Pedagogia,pedagogia,234,20,59,39
RS,16º CRE (Bento Gonçalves),Física,fisica,77,4,1,0
RS,16º CRE (Bento Gonçalves),Língua Portuguesa,linguaportuguesa,47,2,7,5
RS,16º CRE (Bento Gonçalves),Matemática,matematica,72,2,7,5
RS,13º CRE (Bagé),Ciências,ciencias,879,27,3,0
RS,24º CRE (Cachoeira do Sul),Educação física,educacaofisica,0,3,2,0
RS,24º CRE (Cachoeira do Sul),Pedagogia,pedagogia,82,4,34,30
RS,28º CRE (Gravataí),Matemática,matematica,150,2,19,17
RS,27º CRE (Canoas),Biologia,biologia,0,12,2,0
RS,27º CRE (Canoas),Educação física,educacaofisica,597,23,5,0
RS,27º CRE (Canoas),Física,fisica,0,1,2,0
RS,27º CRE (Canoas),Geografia,geografia,0,11,5,0
RS,27º CRE (Canoas),História,historia,0,8,5,0
RS,27º CRE (Canoas),Inglês,ingles,2,17,5,0
RS,27º CRE (Canoas),Matemática,matematica,43,16,15,0
RS,27º CRE (Canoas),Pedagogia,pedagogia,195,40,96,56
RS,27º CRE (Canoas),Química,quimica,0,12,2,0
RS,27º CRE (Canoas),Língua Portuguesa,linguaportuguesa,0,2,15,0
RS,5º CRE (Pelotas),Biologia,biologia,92,21,2,0
RS,5º CRE (Pelotas),Física,fisica,150,2,2,0
RS,5º CRE (Pelotas),Matemática,matematica,300,10,17,7
RS,5º CRE (Pelotas),Química,quimica,117,5,2,0
RS,39º CRE (Carazinho),Pedagogia,pedagogia,55,17,48,31
RS,4º CRE (Caxias do Sul),Artes,artes,196,24,6,0
RS,4º CRE (Caxias do Sul),Biologia,biologia,94,14,2,0
RS,4º CRE (Caxias do Sul),Educação física,educacaofisica,184,33,6,0
RS,4º CRE (Caxias do Sul),Filosofia,filosofia,68,12,2,0
RS,4º CRE (Caxias do Sul),Física,fisica,77,3,2,0
RS,4º CRE (Caxias do Sul),História,historia,119,17,6,0
RS,4º CRE (Caxias do Sul),Inglês,ingles,78,9,6,0
RS,4º CRE (Caxias do Sul),Língua Portuguesa,linguaportuguesa,95,17,17,0
RS,4º CRE (Caxias do Sul),Matemática,matematica,162,16,17,1
RS,4º CRE (Caxias do Sul),Pedagogia,pedagogia,525,83,102,19
RS,4º CRE (Caxias do Sul),Química,quimica,88,2,2,0
RS,4º CRE (Caxias do Sul),Sociologia,sociologia,0,0,2,0
RS,14º CRE (Santo Ângelo),Biologia,biologia,207,29,1,0
RS,14º CRE (Santo Ângelo),Física,fisica,96,4,1,0
RS,14º CRE (Santo Ângelo),Matemática,matematica,62,0,4,4
RS,14º CRE (Santo Ângelo),Química,quimica,105,5,1,0
RS,12º CRE (Guaíba),Pedagogia,pedagogia,42,3,73,39
RS,9º CRE (Cruz Alta),Pedagogia,pedagogia,0,19,34,0
RS,9º CRE (Cruz Alta),Educação física,educacaofisica,0,0,2,0
RS,15º CRE (Erechim),Sociologia,sociologia,97,11,1,0
RS,15º CRE (Erechim),Filosofia,filosofia,171,5,1,0
RS,15º CRE (Erechim),Geografia,geografia,119,6,3,0
RS,15º CRE (Erechim),História,historia,238,29,3,0
RS,15º CRE (Erechim),Pedagogia,pedagogia,306,59,56,0
RS,15º CRE (Erechim),Biologia,biologia,61,6,1,0
RS,15º CRE (Erechim),Educação física,educacaofisica,60,7,3,0
RS,2º CRE (São Leopoldo),Química,quimica,35,5,4,0
RS,20º CRE (Palmeira das Missões),Matemática,matematica,60,8,7,0
RS,20º CRE (Palmeira das Missões),Pedagogia,pedagogia,40,10,50,30
RS,15º CRE (Erechim),Língua Portuguesa,linguaportuguesa,60,0,8,8
RS,15º CRE (Erechim),Matemática,matematica,60,0,8,8
RS,15º CRE (Erechim),Química,quimica,60,0,1,1
RS,28º CRE (Gravataí),Educação física,educacaofisica,194,15,7,0
RS,12º CRE (Guaíba),Educação física,educacaofisica,470,30,4,0
RS,9º CRE (Cruz Alta),Matemática,matematica,31,6,4,0
RS,36º CRE (Ijuí),Educação física,educacaofisica,120,2,2,0
RS,36º CRE (Ijuí),Inglês,ingles,126,10,2,0
RS,36º CRE (Ijuí),Matemática,matematica,105,2,6,4
RS,36º CRE (Ijuí),Pedagogia,pedagogia,206,7,43,36
RS,2º CRE (São Leopoldo),Geografia,geografia,30,3,11,8
RS,2º CRE (São Leopoldo),História,historia,338,29,11,0
RS,2º CRE (São Leopoldo),Língua Portuguesa,linguaportuguesa,521,61,29,0
RS,2º CRE (São Leopoldo),Artes,artes,281,42,11,0
RS,2º CRE (São Leopoldo),Pedagogia,pedagogia,690,70,250,180
RS,5º CRE (Pelotas),História,historia,272,35,6,0
RS,5º CRE (Pelotas),Língua Portuguesa,linguaportuguesa,756,61,17,0
RS,5º CRE (Pelotas),Pedagogia,pedagogia,468,62,103,41
RS,8º CRE (Santa Maria),Biologia,biologia,106,56,1,0
RS,8º CRE (Santa Maria),Matemática,matematica,327,25,12,0
RS,7º CRE (Passo Fundo),Pedagogia,pedagogia,213,53,83,30
RS,3º CRE (Estrela),Biologia,biologia,0,3,1,0
RS,3º CRE (Estrela),Educação física,educacaofisica,0,12,3,0
RS,3º CRE (Estrela),História,historia,0,5,3,0
RS,3º CRE (Estrela),Língua Portuguesa,linguaportuguesa,53,4,9,5
RS,3º CRE (Estrela),Pedagogia,pedagogia,66,6,70,60
RS,2º CRE (São Leopoldo),Biologia,biologia,202,15,4,0
RS,2º CRE (São Leopoldo),Educação física,educacaofisica,4,27,11,0
RS,11º CRE (Osório),Pedagogia,pedagogia,265,28,99,71
RS,11º CRE (Osório),Biologia,biologia,20,0,2,2
RS,11º CRE (Osório),Educação física,educacaofisica,200,3,5,2
RS,11º CRE (Osório),Computação,computacao,20,1,5,4
RS,11º CRE (Osório),Matemática,matematica,64,6,14,8
RS,20º CRE (Palmeira das Missões),Biologia,biologia,176,11,1,0
RS,36º CRE (Ijuí),Biologia,biologia,52,4,1,0
RS,36º CRE (Ijuí),Química,quimica,37,6,1,0
RS,7º CRE (Passo Fundo),Artes,artes,76,16,4,0
RS,7º CRE (Passo Fundo),Biologia,biologia,49,12,1,0
RS,7º CRE (Passo Fundo),Educação física,educacaofisica,63,26,4,0
RS,7º CRE (Passo Fundo),Filosofia,filosofia,24,8,1,0
RS,7º CRE (Passo Fundo),Física,fisica,1,5,1,0
RS,7º CRE (Passo Fundo),Geografia,geografia,0,1,4,0
RS,7º CRE (Passo Fundo),História,historia,62,11,4,0
RS,7º CRE (Passo Fundo),Matemática,matematica,32,2,11,9
RS,7º CRE (Passo Fundo),Química,quimica,0,0,1,0
RS,5º CRE (Pelotas),Artes,artes,358,40,6,0
RS,5º CRE (Pelotas),Sociologia,sociologia,132,16,2,0
RS,5º CRE (Pelotas),Educação física,educacaofisica,1,32,6,0
RS,5º CRE (Pelotas),Filosofia,filosofia,144,21,2,0
RS,5º CRE (Pelotas),Geografia,geografia,264,13,6,0
RS,5º CRE (Pelotas),Computação,computacao,40,9,6,0
RS,1º CRE (Porto Alegre),Artes,artes,266,64,9,0
RS,1º CRE (Porto Alegre),Biologia,biologia,242,31,3,0
RS,1º CRE (Porto Alegre),Sociologia,sociologia,202,27,3,0
RS,1º CRE (Porto Alegre),Educação física,educacaofisica,132,69,9,0
RS,1º CRE (Porto Alegre),Filosofia,filosofia,258,19,3,0
RS,1º CRE (Porto Alegre),Física,fisica,174,15,3,0
RS,1º CRE (Porto Alegre),Geografia,geografia,56,32,9,0
RS,1º CRE (Porto Alegre),História,historia,326,75,9,0
RS,1º CRE (Porto Alegre),Matemática,matematica,262,34,24,0
RS,1º CRE (Porto Alegre),Pedagogia,pedagogia,470,69,112,43
RS,1º CRE (Porto Alegre),Química,quimica,99,9,3,0
RS,1º CRE (Porto Alegre),Língua Portuguesa,linguaportuguesa,1067,309,24,0
RS,1º CRE (Porto Alegre),Inglês,ingles,79,16,9,0
RS,1º CRE (Porto Alegre),Ciências,ciencias,553,62,12,0
RS,18º CRE (Rio Grande),Artes,artes,31,11,3,0
RS,18º CRE (Rio Grande),Biologia,biologia,68,16,1,0
RS,18º CRE (Rio Grande),Educação física,educacaofisica,41,18,3,0
RS,18º CRE (Rio Grande),Física,fisica,218,1,1,0
RS,18º CRE (Rio Grande),Geografia,geografia,62,8,3,0
RS,18º CRE (Rio Grande),História,historia,37,18,3,0
RS,18º CRE (Rio Grande),Língua Portuguesa,linguaportuguesa,285,33,7,0
RS,18º CRE (Rio Grande),Matemática,matematica,56,13,7,0
RS,18º CRE (Rio Grande),Pedagogia,pedagogia,140,57,51,0
RS,18º CRE (Rio Grande),Química,quimica,96,7,1,0
RS,6º CRE (Santa Cruz do Sul),Biologia,biologia,52,2,1,0
RS,6º CRE (Santa Cruz do Sul),Computação,computacao,33,3,4,1
RS,6º CRE (Santa Cruz do Sul),Educação física,educacaofisica,5,8,4,0
RS,6º CRE (Santa Cruz do Sul),Física,fisica,31,2,1,0
RS,6º CRE (Santa Cruz do Sul),Geografia,geografia,36,3,4,1
RS,6º CRE (Santa Cruz do Sul),História,historia,87,4,4,0
RS,6º CRE (Santa Cruz do Sul),Língua Portuguesa,linguaportuguesa,131,24,11,0
RS,6º CRE (Santa Cruz do Sul),Matemática,matematica,51,6,11,5
RS,6º CRE (Santa Cruz do Sul),Pedagogia,pedagogia,112,14,77,63
RS,6º CRE (Santa Cruz do Sul),Química,quimica,57,1,1,0
RS,8º CRE (Santa Maria),Artes,artes,119,31,4,0
RS,8º CRE (Santa Maria),Sociologia,sociologia,99,10,1,0
RS,8º CRE (Santa Maria),Educação física,educacaofisica,87,37,4,0
RS,8º CRE (Santa Maria),Filosofia,filosofia,165,16,1,0
RS,8º CRE (Santa Maria),Física,fisica,260,8,1,0
RS,8º CRE (Santa Maria),Geografia,geografia,102,17,4,0
RS,8º CRE (Santa Maria),História,historia,85,34,4,0
RS,8º CRE (Santa Maria),Inglês,ingles,99,18,4,0
RS,8º CRE (Santa Maria),Língua Portuguesa,linguaportuguesa,96,25,12,0
RS,8º CRE (Santa Maria),Pedagogia,pedagogia,333,67,74,7
RS,8º CRE (Santa Maria),Química,quimica,158,22,1,0
RS,17º CRE (Santa Rosa),Educação física,educacaofisica,120,4,2,0
RS,17º CRE (Santa Rosa),Pedagogia,pedagogia,135,10,45,35
RS,17º CRE (Santa Rosa),Biologia,biologia,31,5,1,0
RS,17º CRE (Santa Rosa),Matemática,matematica,37,14,6,0
RS,14º CRE (Santo Ângelo),Educação física,educacaofisica,50,2,2,0
RS,14º CRE (Santo Ângelo),Pedagogia,pedagogia,75,29,24,0
RS,14º CRE (Santo Ângelo),Computação,computacao,55,8,2,0
RS,11º CRE (Osório),Ciências,ciencias,386,6,7,1
RS,21º CRE (Três Passos),Biologia,biologia,50,19,1,0
RS,21º CRE (Três Passos),Computação,computacao,63,8,2,0
RS,35º CRE (São Borja),Física,fisica,34,3,1,0
RS,35º CRE (São Borja),Matemática,matematica,50,2,4,2
RS,19º CRE (Santana do Livramento),Biologia,biologia,111,7,1,0
RS,19º CRE (Santana do Livramento),Educação física,educacaofisica,60,3,2,0
RS,2º CRE (São Leopoldo),Sociologia,sociologia,55,3,4,1
RS,2º CRE (São Leopoldo),Filosofia,filosofia,60,6,4,0
RS,2º CRE (São Leopoldo),Física,fisica,72,2,4,2
RS,2º CRE (São Leopoldo),Inglês,ingles,233,41,11,0
RS,2º CRE (São Leopoldo),Matemática,matematica,261,21,29,8
RS,32º CRE (São Luiz Gonzaga),Pedagogia,pedagogia,0,23,18,0
RS,39º CRE (Carazinho),Educação física,educacaofisica,44,3,2,0
RS,25º CRE (Soledade),Educação física,educacaofisica,0,1,2,0
RS,25º CRE (Soledade),Pedagogia,pedagogia,0,0,33,0
RS,11º CRE (Osório),Geografia,geografia,20,1,5,4
RS,10º CRE (Uruguaiana),Ciências,ciencias,301,34,4,0
RS,23º CRE (Vacaria),Pedagogia,pedagogia,54,0,25,25
RS,23º CRE (Vacaria),Biologia,biologia,60,10,1,0
GO,CRE-ÁGUAS LINDAS,Educação física,educacaofisica,400,0,2,2
GO,CRE-ÁGUAS LINDAS,Pedagogia,pedagogia,480,12,47,35
GO,CRE-ÁGUAS LINDAS,Biologia,biologia,41,14,1,0
GO,CRE-ANÁPOLIS,Biologia,biologia,193,30,2,0
GO,CRE-ANÁPOLIS,Física,fisica,136,5,2,0
GO,CRE-ANÁPOLIS,Geografia,geografia,83,12,5,0
GO,CRE-ANÁPOLIS,História,historia,133,12,5,0
GO,CRE-ANÁPOLIS,Matemática,matematica,188,10,12,2
GO,CRE-ANÁPOLIS,Pedagogia,pedagogia,618,98,76,0
GO,CRE-ANÁPOLIS,Química,quimica,199,13,2,0
GO,CRE-ANÁPOLIS,Filosofia,filosofia,74,2,2,0
GO,CRE-ANÁPOLIS,Sociologia,sociologia,61,8,2,0
GO,CRE-APARECIDA,Pedagogia,pedagogia,670,197,88,0
GO,CRE-APARECIDA,Língua Portuguesa,linguaportuguesa,5,1,13,4
GO,CRE-APARECIDA,Artes,artes,76,11,5,0
GO,CRE-CAMPOS BELOS,Pedagogia,pedagogia,0,15,12,0
GO,CRE-CATALÃO,Biologia,biologia,50,13,1,0
GO,CRE-CATALÃO,Sociologia,sociologia,0,8,1,0
GO,CRE-CATALÃO,Educação física,educacaofisica,59,25,2,0
GO,CRE-CATALÃO,Física,fisica,52,5,1,0
GO,CRE-CATALÃO,Geografia,geografia,92,19,2,0
GO,CRE-CATALÃO,História,historia,61,8,2,0
GO,CRE-CATALÃO,Língua Portuguesa,linguaportuguesa,149,28,3,0
GO,CRE-CATALÃO,Matemática,matematica,82,7,3,0
GO,CRE-CATALÃO,Pedagogia,pedagogia,62,30,24,0
GO,CRE-CATALÃO,Química,quimica,50,4,1,0
GO,CRE-CATALÃO,Ciências,ciencias,152,37,1,0
GO,CRE-CERES,Biologia,biologia,56,26,1,0
GO,CRE-CERES,Química,quimica,56,10,1,0
GO,CRE-FORMOSA,Geografia,geografia,141,14,2,0
GO,CRE-FORMOSA,História,historia,131,23,2,0
GO,CRE-FORMOSA,Matemática,matematica,184,20,4,0
GO,CRE-FORMOSA,Pedagogia,pedagogia,254,24,24,0
GO,CRE-FORMOSA,Química,quimica,0,5,1,0
GO,CRE-FORMOSA,Inglês,ingles,132,23,2,0
GO,CRE-FORMOSA,Biologia,biologia,50,20,1,0
GO,CRE-FORMOSA,Sociologia,sociologia,46,9,1,0
GO,CRE-GOIANÉSIA,História,historia,70,14,2,0
GO,CRE-GOIANÉSIA,Pedagogia,pedagogia,139,50,27,0
GO,CRE-GOIÂNIA,Artes,artes,367,58,6,0
GO,CRE-GOIÂNIA,Biologia,biologia,641,31,2,0
GO,CRE-GOIÂNIA,Sociologia,sociologia,2,8,2,0
GO,CRE-GOIÂNIA,Educação física,educacaofisica,961,98,6,0
GO,CRE-GOIÂNIA,Filosofia,filosofia,4,13,2,0
GO,CRE-GOIÂNIA,Física,fisica,252,38,2,0
GO,CRE-GOIÂNIA,Geografia,geografia,167,39,6,0
GO,CRE-GOIÂNIA,História,historia,375,54,6,0
GO,CRE-GOIÂNIA,Inglês,ingles,268,26,6,0
GO,CRE-GOIÂNIA,Língua Portuguesa,linguaportuguesa,1057,120,18,0
GO,CRE-GOIÂNIA,Matemática,matematica,301,60,18,0
GO,CRE-GOIÂNIA,Pedagogia,pedagogia,3545,306,133,0
GO,CRE-GOIÂNIA,Química,quimica,161,24,2,0
GO,CRE-GOIÁS,Filosofia,filosofia,105,2,1,0
GO,CRE-GOIÁS,Pedagogia,pedagogia,63,0,14,14
GO,CRE-GOIÁS,Geografia,geografia,193,9,2,0
GO,CRE-GOIÁS,História,historia,197,9,2,0
GO,CRE-GOIÁS,Matemática,matematica,184,13,2,0
GO,CRE-GOIÁS,Artes,artes,57,9,2,0
GO,CRE-GOIATUBA,Educação física,educacaofisica,0,0,2,0
GO,CRE-GOIATUBA,Pedagogia,pedagogia,42,21,10,0
GO,CRE-INHUMAS,Pedagogia,pedagogia,253,51,27,0
GO,CRE-INHUMAS,Educação física,educacaofisica,130,1,2,1
GO,CRE-INHUMAS,Química,quimica,54,4,1,0
GO,CRE-IPORÁ,Biologia,biologia,134,8,1,0
GO,CRE-IPORÁ,Geografia,geografia,199,7,2,0
GO,CRE-IPORÁ,História,historia,180,9,2,0
GO,CRE-IPORÁ,Matemática,matematica,189,3,2,0
GO,CRE-IPORÁ,Pedagogia,pedagogia,103,8,14,6
GO,CRE-IPORÁ,Química,quimica,40,1,1,0
GO,CRE-ITABERAI,Pedagogia,pedagogia,0,16,8,0
GO,CRE-ITAPACI,Pedagogia,pedagogia,0,8,12,0
GO,CRE-ITAPURANGA,Biologia,biologia,0,5,1,0
GO,CRE-ITAPURANGA,Geografia,geografia,91,9,2,0
GO,CRE-ITAPURANGA,História,historia,0,3,2,0
GO,CRE-ITAPURANGA,Pedagogia,pedagogia,150,7,7,0
GO,CRE-ITUMBIARA,Educação física,educacaofisica,0,1,2,0
GO,CRE-ITUMBIARA,Química,quimica,92,22,1,0
GO,CRE-JATAI,Biologia,biologia,38,10,1,0
GO,CRE-JATAI,Educação física,educacaofisica,52,7,2,0
GO,CRE-JATAI,Física,fisica,143,6,1,0
GO,CRE-JATAI,Geografia,geografia,40,7,2,0
GO,CRE-JATAI,História,historia,62,13,2,0
GO,CRE-JATAI,Inglês,ingles,51,5,2,0
GO,CRE-JATAI,Língua Portuguesa,linguaportuguesa,83,12,4,0
GO,CRE-JATAI,Matemática,matematica,99,3,4,1
GO,CRE-JATAI,Pedagogia,pedagogia,88,42,29,0
GO,CRE-JATAI,Química,quimica,97,1,1,0
GO,CRE-JUSSARA,Matemática,matematica,0,1,2,0
GO,CRE-JUSSARA,Pedagogia,pedagogia,0,10,12,0
GO,CRE-LUZIÂNIA,Pedagogia,pedagogia,332,47,44,0
GO,CRE-LUZIÂNIA,Educação física,educacaofisica,100,0,2,2
GO,CRE-LUZIÂNIA,Química,quimica,96,20,1,0
GO,CRE-MINAÇU,Geografia,geografia,0,10,2,0
GO,CRE-MINAÇU,Pedagogia,pedagogia,48,59,8,0
GO,CRE-MINEIROS,Pedagogia,pedagogia,352,11,17,6
GO,CRE-MORRINHOS,Biologia,biologia,131,2,1,0
GO,CRE-MORRINHOS,Pedagogia,pedagogia,338,15,28,13
GO,CRE-MORRINHOS,Geografia,geografia,155,6,2,0
GO,CRE-MORRINHOS,História,historia,155,9,2,0
GO,CRE-MORRINHOS,Matemática,matematica,185,12,3,0
GO,CRE-MORRINHOS,Química,quimica,57,5,1,0
GO,CRE-NOVO GAMA,Pedagogia,pedagogia,761,27,57,30
GO,CRE-NOVO GAMA,Filosofia,filosofia,240,0,1,1
GO,CRE-NOVO GAMA,Matemática,matematica,59,3,7,4
GO,CRE-PALMEIRAS,Pedagogia,pedagogia,219,6,17,11
GO,CRE-PALMEIRAS,Biologia,biologia,177,10,1,0
GO,CRE-PIRACANJUBA,Pedagogia,pedagogia,100,0,10,10
GO,CRE-PIRES DO RIO,Geografia,geografia,0,0,2,0
GO,CRE-PIRES DO RIO,História,historia,0,7,2,0
GO,CRE-PIRES DO RIO,Pedagogia,pedagogia,105,26,13,0
GO,CRE-PIRES DO RIO,Biologia,biologia,55,1,1,0
GO,CRE-PIRES DO RIO,Educação física,educacaofisica,50,0,2,2
GO,CRE-PIRES DO RIO,Matemática,matematica,86,1,2,1
GO,CRE-PIRES DO RIO,Química,quimica,75,9,1,0
GO,CRE-PORANGATU,Biologia,biologia,0,7,1,0
GO,CRE-PORANGATU,Educação física,educacaofisica,0,0,2,0
GO,CRE-PORANGATU,Geografia,geografia,84,9,2,0
GO,CRE-PORANGATU,História,historia,18,11,2,0
GO,CRE-PORANGATU,Matemática,matematica,23,11,2,0
GO,CRE-PORANGATU,Pedagogia,pedagogia,0,0,10,0
GO,CRE-POSSE,Matemática,matematica,0,6,3,0
GO,CRE-POSSE,Biologia,biologia,40,6,1,0
GO,CRE-QUIRINÓPOLIS,Biologia,biologia,155,6,1,0
GO,CRE-QUIRINÓPOLIS,Educação física,educacaofisica,41,6,2,0
GO,CRE-QUIRINÓPOLIS,Geografia,geografia,198,12,2,0
GO,CRE-QUIRINÓPOLIS,História,historia,205,6,2,0
GO,CRE-QUIRINÓPOLIS,Matemática,matematica,120,9,3,0
GO,CRE-QUIRINÓPOLIS,Pedagogia,pedagogia,84,14,17,3
GO,CRE-RIO VERDE,Pedagogia,pedagogia,290,61,38,0
GO,CRE-RIO VERDE,Biologia,biologia,61,16,1,0
GO,CRE-RIO VERDE,Química,quimica,76,6,1,0
GO,CRE-SANTA HELENA,Matemática,matematica,0,5,2,0
GO,CRE-SÃO L. M. BELOS,Pedagogia,pedagogia,931,22,11,0
GO,CRE-SÃO L. M. BELOS,Educação física,educacaofisica,400,5,2,0
GO,CRE-SÃO M. ARAGUAIA,Pedagogia,pedagogia,0,6,9,0
GO,CRE-SILVÂNIA,Pedagogia,pedagogia,0,2,10,0
GO,CRE-TRINDADE,Pedagogia,pedagogia,297,27,32,5
GO,CRE-TRINDADE,Biologia,biologia,488,1,1,0
GO,CRE-TRINDADE,Educação física,educacaofisica,938,14,2,0
GO,CRE-URUAÇU,História,historia,145,11,2,0
GO,CRE-URUAÇU,Pedagogia,pedagogia,94,11,21,10
GO,CRE-URUAÇU,Filosofia,filosofia,50,0,1,1
GO,CRE-URUAÇU,Química,quimica,104,11,1,0
ES,SRE Guaçuí,Biologia,biologia,120,35,1,0
ES,SRE Guaçuí,Física,fisica,1100,8,1,0
ES,SRE Guaçuí,Matemática,matematica,1123,8,5,0
ES,SRE Guaçuí,Química,quimica,1102,15,1,0
ES,SRE Guaçuí,História,historia,40,0,2,2
ES,SRE Guaçuí,Pedagogia,pedagogia,159,10,47,37
ES,SRE Linhares,Pedagogia,pedagogia,266,59,83,24
ES,SRE Linhares,Química,quimica,60,13,1,0
ES,SRE Cachoeiro de Itapemirim,Educação física,educacaofisica,0,18,4,0
ES,SRE Cachoeiro de Itapemirim,História,historia,50,14,4,0
ES,SRE Cachoeiro de Itapemirim,Inglês,ingles,50,9,4,0
ES,SRE Cachoeiro de Itapemirim,Pedagogia,pedagogia,70,18,93,52
ES,SRE Cachoeiro de Itapemirim,Matemática,matematica,60,16,10,0
ES,SRE Cariacica,Educação física,educacaofisica,124,0,3,3
ES,SRE Cariacica,Pedagogia,pedagogia,230,21,87,66
ES,SRE Cariacica,Física,fisica,63,4,1,0
ES,SRE Colatina,Pedagogia,pedagogia,336,34,52,18
ES,SRE Colatina,História,historia,60,7,3,0
ES,SRE Vila Velha,Pedagogia,pedagogia,1624,40,104,64
ES,SRE Vila Velha,Ciências,ciencias,163,11,6,0
ES,SRE Nova Venécia,Geografia,geografia,80,24,2,0
ES,SRE Afonso Cláudio,Pedagogia,pedagogia,180,1,39,38
ES,SRE Carapina,Educação física,educacaofisica,2022,101,6,0
ES,SRE Carapina,Biologia,biologia,361,40,2,0
ES,SRE Nova Venécia,Educação física,educacaofisica,12,0,2,2
ES,SRE Nova Venécia,Pedagogia,pedagogia,15,0,38,15
ES,SRE São Mateus,Biologia,biologia,80,16,1,0
ES,SRE São Mateus,Física,fisica,1090,4,1,0
ES,SRE São Mateus,Matemática,matematica,73,3,6,3
ES,SRE São Mateus,Pedagogia,pedagogia,1064,32,47,15
ES,SRE São Mateus,Química,quimica,1079,3,1,0
ES,SRE São Mateus,Educação física,educacaofisica,5,13,3,0
ES,SRE Carapina,Pedagogia,pedagogia,3772,131,164,33
ES,SRE Carapina,Artes,artes,274,109,6,0
ES,SRE Carapina,Geografia,geografia,1193,28,6,0
ES,SRE Carapina,História,historia,1164,30,6,0
ES,SRE Carapina,Inglês,ingles,187,28,6,0
ES,SRE Carapina,Língua Portuguesa,linguaportuguesa,9370,116,17,0
ES,SRE Carapina,Matemática,matematica,214,47,17,0
ES,SRE Carapina,Sociologia,sociologia,146,16,2,0
ES,SRE Afonso Cláudio,Língua Portuguesa,linguaportuguesa,70,19,5,0
ES,SRE Vila Velha,Artes,artes,0,0,4,0
ES,SRE Vila Velha,Educação física,educacaofisica,278,62,4,0
ES,SRE Vila Velha,Química,quimica,80,11,1,0
ES,SRE Carapina,Filosofia,filosofia,1038,8,2,0
ES,SRE Carapina,Física,fisica,1040,13,2,0
ES,SRE Carapina,Química,quimica,17,3,2,0
MG,SRE ALMENARA,Língua Portuguesa,linguaportuguesa,100,7,7,0
MG,SRE ALMENARA,Pedagogia,pedagogia,13,4,46,9
MG,SRE ARAÇUAÍ,Biologia,biologia,89,3,1,0
MG,SRE ARAÇUAÍ,Física,fisica,133,4,1,0
MG,SRE ARAÇUAÍ,Matemática,matematica,138,5,10,5
MG,SRE ARAÇUAÍ,Pedagogia,pedagogia,62,6,48,42
MG,SRE ARAÇUAÍ,Química,quimica,132,1,1,0
MG,SRE BARBACENA,Sociologia,sociologia,40,10,1,0
MG,SRE BARBACENA,Pedagogia,pedagogia,205,59,45,0
MG,SRE BARBACENA,Biologia,biologia,57,24,1,0
MG,SRE BARBACENA,Educação física,educacaofisica,54,8,3,0
MG,SRE BARBACENA,Química,quimica,65,14,1,0
MG,SRE CAMPO BELO,Pedagogia,pedagogia,258,119,39,0
MG,SRE CAMPO BELO,Biologia,biologia,56,32,1,0
MG,SRE CAMPO BELO,Educação física,educacaofisica,51,24,2,0
MG,SRE CAMPO BELO,Filosofia,filosofia,144,15,1,0
MG,SRE CAMPO BELO,Física,fisica,91,11,1,0
MG,SRE CAMPO BELO,Matemática,matematica,165,23,5,0
MG,SRE CAMPO BELO,Química,quimica,152,10,1,0
MG,SRE CARANGOLA,Biologia,biologia,40,0,1,1
MG,SRE CARANGOLA,Geografia,geografia,30,0,2,2
MG,SRE CARANGOLA,História,historia,54,0,2,2
MG,SRE CARANGOLA,Matemática,matematica,75,9,4,0
MG,SRE CARANGOLA,Pedagogia,pedagogia,40,22,25,3
MG,SRE CARATINGA,Biologia,biologia,100,1,1,0
MG,SRE CARATINGA,Educação física,educacaofisica,60,0,3,3
MG,SRE CARATINGA,História,historia,85,0,3,3
MG,SRE CARATINGA,Pedagogia,pedagogia,90,17,55,38
MG,SRE CAXAMBU,Pedagogia,pedagogia,315,57,35,0
MG,SRE CAXAMBU,Educação física,educacaofisica,50,3,2,0
MG,SRE CAXAMBU,História,historia,100,9,2,0
MG,SRE CONSELHEIRO LAFAIETE,Física,fisica,40,3,1,0
MG,SRE CONSELHEIRO LAFAIETE,Pedagogia,pedagogia,209,38,58,20
